🕘️更新时间,#genre#
2026-02-05 06:31:01,http://23.237.228.134/live5/CCTV2.m3u8

📺央视频道,#genre#
CCTV-2,http://23.237.228.134/live5/CCTV2.m3u8
CCTV-3,http://23.237.228.134/live5/CCTV3.m3u8
CCTV-7,http://23.237.228.134/live5/CCTV7.m3u8
CCTV-16,http://69.30.246.194/live/cctv16.m3u8
CETV-1,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=cetv2&videoTVChannel=cetv2&P2PChannelID=pd://cctv_p2p_hdcetv2&tai=cetv2&VideoName=cetv2&channelID=cetv2
CETV-1,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=cetv4&videoTVChannel=cetv4&P2PChannelID=pd://cctv_p2p_hdcetv4&tai=cetv4&VideoName=cetv4&channelID=cetv4
CETV-1,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=cetv1&videoTVChannel=cetv1&P2PChannelID=pd://cctv_p2p_hdcetv1&tai=cetv1&VideoName=cetv1&channelID=cetv1
CETV-1,http://39.152.103.17:8089/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&down=1
CETV-1,rtsp://115.153.254.81/PLTV/88888888/224/3221226858/63768493.smil
CETV-1,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226858/63768493.smil
CETV-1,rtsp://115.153.212.72/PLTV/88888888/224/3221226858/63768493.smil
CETV-1,rtsp://115.153.233.154/PLTV/88888888/224/3221226858/63768493.smil
CETV-1,http://111.43.126.240:9003/hls/34/index.m3u8
